Town,Rate
Boston,55.4%
Charlestown,42.5%
Northfield,32.0%
Huntington,29.7%
North Adams,28.0%
Bernardston,26.7%
Lenox,25.8%
Concord,24.1%
Lanesboro,23.1%
Provincetown,23.0%
Richmond,21.8%
Brookline,20.0%
Manchester,19.8%
Great Barrington,17.6%
Wellesley,16.6%
Shutesbury,16.1%
Somerville,16.1%
Berlin,16.0%
Ashfield,15.9%
Leverett,15.7%
Jamaica Plain,15.2%
Cambridge,14.0%
Newburyport,14.0%
Orleans,13.1%
Granville,13.1%
Sheffield,13.0%
Needham,12.8%
Winchester,12.3%
Bedford,12.2%
Edgartown,11.3%
Belmont,11.3%
South Boston,11.1%
Newton,10.8%
Arlington,10.3%
Roslindale,9.0%
Chesterfield,8.0%
Hampden,7.9%
Cohasset,7.2%
Lexington,7.1%
Otis,7.0%
Chilmark,6.7%
Milton,6.6%
Granby,6.5%
Hadley,6.0%
Charlemont,5.4%
Duxbury,5.1%
Williamstown,4.8%
Hatfield,4.7%
Allston,4.0%
Clarksburg,3.2%
Wrentham,2.9%
Sudbury,2.8%
Amherst,2.4%
Reading,2.3%
North Reading,2.0%
Sterling,1.4%
Cheshire,1.0%
West Newbury,1.0%
Burlington,0.6%
Stow,0.6%
Littleton,0.2%
Brighton,0.2%
Pittsfield,0.1%
Hinsdale,0.0%
Southampton,-0.4%
Watertown,-0.4%
Shrewsbury,-0.7%
West Springfield,-0.8%
Medford,-1.7%
Norwell,-1.8%
Sherborn,-1.8%
Agawam,-2.1%
Monson,-2.2%
Russell,-2.4%
Marion,-2.8%
Adams,-3.3%
Medfield,-3.4%
Westhampton,-3.5%
Plainville,-3.5%
Holyoke,-4.0%
Longmeadow,-4.0%
Wayland,-4.1%
Palmer,-4.1%
Hingham,-4.2%
Melrose,-4.3%
Sharon,-4.3%
New Marlboro,-4.4%
East Longmeadow,-4.5%
Hopkinton,-4.6%
Easthampton,-4.9%
Chicopee,-5.4%
Andover,-5.6%
Northbridge,-5.9%
Weston,-6.2%
Dedham,-6.3%
Harvard,-6.4%
Southwick,-6.5%
Easton,-6.5%
Greenfield,-6.6%
East Boston,-6.6%
Natick,-7.1%
Hardwick,-7.4%
Lynnfield,-7.6%
Boylston,-7.7%
Buckland,-7.7%
West Tisbury,-7.8%
Ludlow,-7.8%
